,Tweet Id,Text,Username,time,date
0,1442580908863860740,@Ibrrahim_9 نأمل منك تغيير المتصفح او جهاز الكمبيوتر، نسعد بخدمتك,AhwalCare,20,2021-09-27
1,1442580817927045122,@SalemRahim1 نرجو منك تزويدنا ببياناتك عبر الخاص، نسعد بخدمتك,AhwalCare,20,2021-09-27
2,1442578817395183620,@i_Mrmreta نأمل منك حجز موعد لتجديد سجل الاسرة من خلال حسابك في ابشر، نسعد بخدمتك,AhwalCare,19,2021-09-27
3,1442578548116660225,@2022_sf يمكنك حجز موعد فوراً، نسعد بخدمتك,AhwalCare,19,2021-09-27
4,1442578459390320646,@cheeevo77 نأمل منك التقديم بطلب وثيقة بدل فاقد في موقع أبشر، نسعد بخدمتك,AhwalCare,19,2021-09-27
5,1442578320852406272,@cheeevo77 لايلزم، نسعد بخدمتك,AhwalCare,19,2021-09-27
6,1442578229429080065,@MohamadShamia88 يستغرق إصدارها ١٤يوم عمل كحد أقصى، وستصلك رسالة نصية عند وصول بطاقتك للمكتب، نسعد بخدمتك,AhwalCare,19,2021-09-27
7,1442575734896152576,@sarah19119001 في حال إصدار بطاقة هوية وطنية لأول مره يلزم إحضار جميع المتطلبات في تذكرة الموعد، نسعد بخدمتك,AhwalCare,19,2021-09-27
8,1442575441978605571,@mary_123_355 يتم إحتساب ١٠٠ ريال من تاريخ انتهاء الهوية الوطنية، نسعد بخدمتك,AhwalCare,19,2021-09-27
9,1442575318448021505,@R__mi لايلزم، نسعد بخدمتك,AhwalCare,19,2021-09-27
10,1442575062729560067,@cheeevo77 نأمل منك مراجعة اقرب مكتب للاحوال، نسعد بخدمتك,AhwalCare,19,2021-09-27
11,1442574917816537099,@sarah19119001 نرجو التوضيح، نسعد بخدمتك,AhwalCare,19,2021-09-27
12,1442574754829914115,@oDpHQsENp3XJdqD لايلزم، نسعد بخدمتك,AhwalCare,19,2021-09-27
13,1442574642712096771,@shag_0x نرجو توجيه سؤالك للجهه المختصة، نسعد بخدمتك,AhwalCare,19,2021-09-27
14,1442574392597303296,@AhmedRa505 نأمل منك مراجعة المكتب وسيتم ابلاغك بالاجراءات، نسعد بخدمتك,AhwalCare,19,2021-09-27
15,1442574268240379904,@Nf4958 خدمتكم واجبنا ونعدكم بتقديم الأفضل,AhwalCare,19,2021-09-27
16,1442574212565192708,@lilii1211 نعم، نسعد بخدمتك,AhwalCare,19,2021-09-27
17,1442574144114241541,@moon_556677 نرجو التوضيح، نسعد بخدمتك,AhwalCare,19,2021-09-27
18,1442574015017668612,@R__mi لايوجد متطلبات لاحضارها، نسعد بخدمتك,AhwalCare,19,2021-09-27
19,1442573904858558474,@Nadeer0011 تم الرد، نسعد بخدمتك,AhwalCare,19,2021-09-27
20,1442572810631753728,@d0zDpFBkPbrKhE5 نعم، نسعد بخدمتك,AhwalCare,19,2021-09-27
21,1442570205188792320,@Ruba_mokhles السداد يكون عبر احدى قنوات السداد الإلكترونية، نسعد بخدمتك,AhwalCare,19,2021-09-27
22,1442567643656036352,"@Sa5ir2100 خدمة""تقدير"" تخدم كبار السِّن، وذوي الاحتياجات الخاصَّة، والمرضى الذين يصعب عليهم مراجعة مكاتب الأحوال المدنيَّة للإستفادة من خدماتها مثل تجديد أو اصدار أو استبدال الهوية الوطنية. نتطلع لخدمتكم",AhwalCare,19,2021-09-27
23,1442567429440294912,@Mohmoh2030 المعتمد هو مادوّن في بطاقة الهوية الوطنية، نسعد بخدمتك,AhwalCare,19,2021-09-27
24,1442567299723141121,@Nf4958 نأمل منك احضار اخر مؤهل تعليمي لك، نسعد بخدمتك,AhwalCare,19,2021-09-27
25,1442564811485818887,@A_ashwaq4 نعم يلزمك احضار جميع المتطلبات الموجودة في تذكرة الموعد وسيتم تصويرك في المكتب، نسعد بخدمتك,AhwalCare,19,2021-09-27
26,1442564681726676995,@Nadeer0011 تفضل، نسعد بخدمتك,AhwalCare,18,2021-09-27
27,1442564151243681793,@Sa5ir2100 يمكنك طلب خدمة تقدير، نسعد بخدمتك,AhwalCare,18,2021-09-27
28,1442563790642503686,"@AlharbiEbtihal نأمل منك زيارة الرابط التالي : 
https://t.co/XH1YoI3HOu
لمعرفة أوقات العمل، ولن يتم استقبال أي مستفيد بدون حجز موعد إلكتروني",AhwalCare,18,2021-09-27
29,1442563669443940356,@2_N_2n بإمكانك مراجعة أقرب مكتب مع احضار بطاقة الهوية الوطنية، نسعد بخدمتك,AhwalCare,18,2021-09-27
30,1442563562854133761,@Nf4958 نأمل منك مراجعة اقرب مكتب للاحوال مع احضار تعريف طالب وبطاقة الهوية الوطنية، نسعد بخدمتك,AhwalCare,18,2021-09-27
31,1442563060346933258,@lilii1211 نأمل منك مراجعة اقرب مكتب للاحوال، نسعد بخدمتك,AhwalCare,18,2021-09-27
32,1442563007725203456,@Mohmoh2030 نرجو منك التوضيح هل هي في بطاقة الهوية الوطنية ام في الهوية الرقمية؟,AhwalCare,18,2021-09-27
33,1442560239962710017,@Nohission لا يتم تغيير الصورة الشخصية إلا بتغيّر الملامح أو بموجب تقارير طبية، نسعد بخدمتك,AhwalCare,18,2021-09-27
34,1442559753926832132,@Grayor_ تفضل، نسعد بخدمتك,AhwalCare,18,2021-09-27
35,1442559693025648641,@NvMotivation نرجو منك تزويدنا ببياناتك عبر الخاص، نسعد بخدمتك,AhwalCare,18,2021-09-27
36,1442558819742093318,@Mona_Althaqib نرجو منك تزويدنا ببياناتك عبر الخاص، نسعد بخدمتك,AhwalCare,18,2021-09-27
37,1442555445655179266,@1997_ab1 تفضل، نسعد بخدمتك,AhwalCare,18,2021-09-27
38,1442555381218267141,@Grayor_ نرجو منك تزويدنا ببياناتك عبر الخاص، نسعد بخدمتك,AhwalCare,18,2021-09-27
39,1442555335680557067,@sha03432438 يستغرق إصدارها ١٤يوم عمل كحد أقصى، وستصلك رسالة نصية عند وصول بطاقتك للمكتب، نسعد بخدمتك,AhwalCare,18,2021-09-27
40,1442555172476145664,@afr45 نأمل منك تسليمها الى اقرب مكتب للاحوال، نسعد بخدمتك,AhwalCare,18,2021-09-27
41,1442554738113871873,@1997_ab1 نرجو منك تزويدنا ببياناتك عبر الخاص، نسعد بخدمتك,AhwalCare,18,2021-09-27
42,1442554644283154432,@i_xs71 لايوجد متطلبات لاحضارها، نسعد بخدمتك,AhwalCare,18,2021-09-27
43,1442554408261206021,@Grayor_ بامكانك عن طريق حسابك في أبشر بالدخول على خدمات من تبويب خدماتي واختيار اصدار سجل اسرة ونامل منك الدخول من الموقع وليس التطبيق وتجربة اجهزه اخرى ،نسعد بخدمتك,AhwalCare,18,2021-09-27
44,1442554150332608517,@boodeaboad تفضل، نسعد بخدمتك,AhwalCare,18,2021-09-27
45,1442554050776600576,@rfd1i سيتم التواصل معك قريبًا بإذن الله، نتشرف بخدمتك,AhwalCare,18,2021-09-27
46,1442553854944546817,@brincess_jood يستغرق إصدارها ١٤يوم عمل كحد أقصى، وستصلك رسالة نصية عند وصول بطاقتك للمكتب، نسعد بخدمتك,AhwalCare,18,2021-09-27
47,1442549052734910468,@Jooda780 يتم تسليم البطاقة عند استلام البطاقة الجديده، نسعد بخدمتك,AhwalCare,17,2021-09-27
48,1442548919754448896,@MOHMADALMAHAYA لايوجد متطلبات لاحضارها، يمكنك ابراز الموعد من خلال الجوال، ولايلزم طباعه الموعد، نسعد بخدمتك,AhwalCare,17,2021-09-27
49,1442548804767653889,@A_Jehani8 نعم يتم تصويرك في المكتب، نسعد بخدمتك,AhwalCare,17,2021-09-27
50,1442548339325632520,@iotx3 نأمل منك تغيير المتصفح او جهاز الكمبيوتر، نسعد بخدمتك,AhwalCare,17,2021-09-27
51,1442548241409716232,@tbk1m تفضل، نسعد بخدمتك,AhwalCare,17,2021-09-27
52,1442548148757487617,@anda_ash1 يتم إحتساب ١٠٠ ريال من تاريخ انتهاء الهوية الوطنية، نسعد بخدمتك,AhwalCare,17,2021-09-27
53,1442547788609318914,@njoomalaflaj من خلال حسابك في ابشر، نسعد بخدمتك,AhwalCare,17,2021-09-27
54,1442547692773822465,@Saleh_AlTuhami نرجو منك تزويدنا ببياناتك عبر الخاص، نسعد بخدمتك,AhwalCare,17,2021-09-27
55,1442547616189845513,@_miii90 نأمل منك مراجعة اقرب مكتب للاحوال، نسعد بخدمتك,AhwalCare,17,2021-09-27
56,1442547214371508229,@grgah18 @AhwalKSA نرجو منك تزويدنا ببياناتك عبر الخاص، نسعد بخدمتك,AhwalCare,17,2021-09-27
57,1442542304049475593,@aa22ll22 هل تم استلام البطاقة؟,AhwalCare,17,2021-09-27
