,Tweet Id,Text,time,date
0,1442630539475922949,  أقدر أغير الصورة الشخصية للهوية اذا لسه باقيلها سنين حتى تنتهي,23,2021-09-27
1,1442625037312438277,   ،  عندي الوالد كبير بالسن وحاولت اسجله ببرنامج تقدير لكن مطلوب تقرير طبي ، علما انه لايوجد لدي تقرير وصعب نقل الوالد للمستشفى لاجل تقرير طبي ،   حل عندكم ,22,2021-09-27
2,1442614988598747137,  سويت كل الخطوات برفق اخر مؤ دراسي بس مو راضي يضبط معي ! ايش الحل 😢,22,2021-09-27
3,1442614333272432641, الغريب   المدنية بالرياض وبعض مكاتبها بأنها لم تحتفل باليوم الوطني اسوة بالوزارات الاخرى و(الشركات) مع العلم بانها هي مصدر الهوية الوطنية السعودية شي غريب صراحة!!!,22,2021-09-27
4,1442613483686612995," 
 فعلاً ه غرامه ع التأخر  تجديد الهويه الوطنيه ",22,2021-09-27
5,1442605760148480003,  سلام  عندي هويه قديمه  ماها انجليزي وابي اغيرها واهي ماانتهى تاريخ يصير اغيرها,21,2021-09-27
6,1442603966785785857," نقدم على حافز البحث عن العمل باسعار رمزية 🇸🇦🇸🇦
#حافزالبحث_عمل 🇸🇦🇸🇦
#البركة_للتعقيب 🇸🇦🇸🇦🇸🇦
🇸🇦🇸🇦استفد  خدمة الحافز للبحث عن عمل 🇸🇦🇸🇦",21,2021-09-27
7,1442602169471930369, و محصنه جرعه وحده ومتعا اقدر ادخل ولا ,21,2021-09-27
8,1442601063748603904,   عندي موعد تجديد بطاقه بكرا ايش اخذ معي  اوراق غير البطاقه ,21,2021-09-27
9,1442598759490260992, ليتهم ينزلون اسماء اللي قدمو علي الوظايف قبل سنه,21,2021-09-27
10,1442595938028036098,    ابي احجز موعد يطلع بس لي الساعه ٨ و٩ والوقت هذا حتى سواق ماه  ه مشكله ف المواعيد والا صار هالوقت وبس.,21,2021-09-27
11,1442595644426838026,"   
ارغب بتجديد الهوية الوطنية و الان خارج المملكة ",21,2021-09-27
12,1442591535535644674, سلام  متى تنزلون وظايف عندكم,20,2021-09-27
13,1442591213773893634, استلام الهوية ،  يحتاج الى حجز موعد !,20,2021-09-27
14,1442590914027925508,"  

 يالإمكان أن تبحثو لنا عن وثائق عام1370ه‍.
تذكرة عربان أو تذكرة نفوس.",20,2021-09-27
15,1442588639284711426, افتحو الوظايف تكفون,20,2021-09-27
16,1442573615598215168, نبي طريقه تغير المهنه  ابشر لزوجتي ربه زل حيث لايوجد مرعد لها ب,19,2021-09-27
17,1442571538625040389,     يشترط احضار صور لاصدار الهويه والا الغي هذا الشرط كما سمعت,19,2021-09-27
18,1442568045625368581, طيب التعديل إلى موظف او موظفة,19,2021-09-27
19,1442567975920357383,  تجديد الهوية الوطنية ماهي متطلباتها,19,2021-09-27
20,1442562035854753793,"      

 تجديد الهوية الوطنية 
يلزم الذهاب لمكتب  المدنية 

ام ممكن عن طريق النظام الالكتروني 

الرجاء الافادة 

عندي شخص غير قادر للذهاب لمكتب  لتجديد الهوية الوطنية",18,2021-09-27
21,1442561358327910406,  ابغى اعرف اخر موعد لدوام   ينبع حابه اخذ موعد  اخر موعد لهم,18,2021-09-27
22,1442560749818159109, سلام  ورحمه  بركاته لو سمحتي  قبل غيرت المهنه  طالبه الي ربه زل والحين ابي اغير مهنتي الي طالبه وش واوراق مطلوبه عشان يغيرون المهنه ,18,2021-09-27
23,1442557111091744768,  اعرف اسم الشخص  رقم الهوية الوطنية !,18,2021-09-27
24,1442556776100995073,  تحيه طيبه وبعد   يستخرج سجل مدني لمتو قبل السجل المدني لاجل كتابه العدل بريدة تطلب سجل مدني لمتو!!!!!!!,18,2021-09-27
25,1442554061249658897, كم يستغرق  يوم تجديد البطاقه وخلال كم يوم أقدر أستلمها علماً أن مع التجديد تغيير للصوره الشخصيه,18,2021-09-27
26,1442552497927688193,"    
 حصلت بطاقه احوال ضائعه لاحد الزبائن 
وليس لدي رقم جوال للاتصال عليه 
 ممكن تتصلون عليه لاستلامها  الفرع ",18,2021-09-27
27,1442548742599712771," @HRSD_SA الان الان 
انجاز صة قوى كامل مشاكل قوى 
فترة الاشعار ٩٠ يوم تعبأت رصيد فك نسبة هند بنغالي اصدر تأشيرات 
نقل كفالة 
خدمة الكترونية 
للتواصل خاص او واتساب رابط  اعلا الصفحة
ارسل واز",17,2021-09-27
28,1442548356723601413,  اذا ببلغ عن بطاقتي الضايعه متى اقدر اطلع الجديده وكم يستغرق الوقت ,17,2021-09-27
29,1442548255104012288,"    .. وردتني رسالة تدني بتحديد موعد غداً الساعة ١٠ صباحاً ( قائمة الإنتظار )
ارغب  تأجيل الموعد ولكن لايظهر لي  خانة المواعيد  ابشر، ما العمل",17,2021-09-27
30,1442545778413686784,"   
أبي أسوي تفويض لنفسي  حساب أبوي ورفض
اقدر اعرف ايش السبب
أتى التواصل خاص اعطيكم المعلومات",17,2021-09-27
31,1442545582468440064,   .. كم رسوم الغرامة على عدم تجديد الهوية لمدة سنة وثلاث اشهر ,17,2021-09-27
32,1442542666470895617, سبق وارسلت شهادتي الجامعية وتم رفض الطلب الموضوع بسيط (تعديل تعليم) وارسلت صورة الشهادة . @,17,2021-09-27
33,1442541910485307393, الوالده عندي عمرها فوق 60 سنه حاولت تبصم  جهاز الخدمه الذاتيه ما قبلت البصمه .. وش الحل ,17,2021-09-27
34,1442540619302330380,   ،،  اقدر اسمي بنتي ( الزين)  ,17,2021-09-27
35,1442538694267707395,   متى تنتهي ساعه انتهاء وقت الوحدات المتنقله بالقرب  الجامعه نجران  واين يكون موقعها   بضبط,17,2021-09-27
36,1442538221276045313,   متقاعد  سنتين وابي اعرف المهنه تعدلت موظف الى متقاعد او لا,17,2021-09-27
37,1442536435567845388,"   
طلب سجل اسره للامهات قبل اسبوعين والى الان لم يصلني شي واخلي مسؤوليتي ان حصل اي مشكله باستخدامه بطرق غير مشروعه @SPL_KSA_online 

عزيزي العميل،
 تم استلام طلبكم رقم 1001928923 وجاري العمل علية حالياً.",17,2021-09-27
